92,Brett Guthrie,rep,KY,Republican,RepGuthrie
93,Andy Harris,rep,MD,Republican,RepAndyHarrisMD
94,Vicky Hartzler,rep,MO,Republican,RepHartzler
95,Martin Heinrich,sen,NM,Democrat,MartinHeinrich
96,Jaime Herrera Beutler,rep,WA,Republican,HerreraBeutler
97,Brian Higgins,rep,NY,Democrat,RepBrianHiggins
98,James A. Himes,rep,CT,Democrat,JAHimes
99,Mazie K. Hirono,sen,HI,Democrat,MazieHirono
100,John Hoeven,sen,ND,Republican,SenJohnHoeven
101,Steny H. Hoyer,rep,MD,Democrat,LeaderHoyer
102,Bill Huizenga,rep,MI,Republican,RepHuizenga
103,Sheila Jackson Lee,rep,TX,Democrat,JacksonLeeTX18
104,Bill Johnson,rep,OH,Republican,RepBillJohnson
105,Eddie Bernice Johnson,rep,TX,Democrat,RepEBJ
106,"Henry C. Hank Johnson, Jr.",rep,GA,Democrat,RepHankJohnson
107,Ron Johnson,sen,WI,Republican,SenRonJohnson
108,Jim Jordan,rep,OH,Republican,Jim_Jordan
109,Marcy Kaptur,rep,OH,Democrat,RepMarcyKaptur
110,William R. Keating,rep,MA,Democrat,USRepKeating
111,Mike Kelly,rep,PA,Republican,MikeKellyPA
112,Ron Kind,rep,WI,Democrat,RepRonKind
113,Adam Kinzinger,rep,IL,Republican,RepKinzinger
114,Doug Lamborn,rep,CO,Republican,RepDLamborn
115,James R. Langevin,rep,RI,Democrat,JimLangevin
116,James Lankford,sen,OK,Republican,SenatorLankford
117,Rick Larsen,rep,WA,Democrat,RepRickLarsen
118,John B. Larson,rep,CT,Democrat,RepJohnLarson
119,Robert E. Latta,rep,OH,Republican,BobLatta
120,Patrick J. Leahy,sen,VT,Democrat,SenatorLeahy
121,Barbara Lee,rep,CA,Democrat,RepBarbaraLee
122,Mike Lee,sen,UT,Republican,SenMikeLee
123,Zoe Lofgren,rep,CA,Democrat,RepZoeLofgren
124,Billy Long,rep,MO,Republican,USRepLong
125,Frank D. Lucas,rep,OK,Republican,RepFrankLucas
126,Blaine Luetkemeyer,rep,MO,Republican,RepBlaine
127,Ben Ray Lujan,sen,NM,Democrat,SenatorLujan
128,Stephen F. Lynch,rep,MA,Democrat,RepStephenLynch
129,Carolyn B. Maloney,rep,NY,Democrat,RepMaloney
130,Edward J. Markey,sen,MA,Democrat,SenMarkey
131,Doris O. Matsui,rep,CA,Democrat,DorisMatsui
132,Kevin McCarthy,rep,CA,Republican,GOPLeader
133,Michael T. McCaul,rep,TX,Republican,RepMcCaul
134,Tom McClintock,rep,CA,Republican,RepMcClintock
135,Betty McCollum,rep,MN,Democrat,BettyMcCollum04
136,James P. McGovern,rep,MA,Democrat,RepMcGovern
137,Patrick T. McHenry,rep,NC,Republican,PatrickMcHenry
138,David B. McKinley,rep,WV,Republican,RepMcKinley
139,Cathy McMorris Rodgers,rep,WA,Republican,CathyMcMorris
140,Jerry McNerney,rep,CA,Democrat,RepMcNerney
141,Gregory W. Meeks,rep,NY,Democrat,RepGregoryMeeks
142,Gwen Moore,rep,WI,Democrat,RepGwenMoore
143,Jerry Moran,sen,KS,Republican,JerryMoran
144,Lisa Murkowski,sen,AK,Republican,LisaMurkowski
145,Christopher Murphy,sen,CT,Democrat,senmurphyoffice
146,Patty Murray,sen,WA,Democrat,PattyMurray
147,Jerrold Nadler,rep,NY,Democrat,RepJerryNadler
148,Grace F. Napolitano,rep,CA,Democrat,GraceNapolitano
149,Richard E. Neal,rep,MA,Democrat,RepRichardNeal
150,Eleanor Holmes Norton,rep,DC,Democrat,EleanorNorton
151,Devin Nunes,rep,CA,Republican,RepDevinNunes
152,Steven M. Palazzo,rep,MS,Republican,CongPalazzo
153,"Frank Pallone, Jr.",rep,NJ,Democrat,FrankPallone
154,"Bill Pascrell, Jr.",rep,NJ,Democrat,BillPascrell
155,Rand Paul,sen,KY,Republican,RandPaul
156,Nancy Pelosi,rep,CA,Democrat,SpeakerPelosi
157,Ed Perlmutter,rep,CO,Democrat,RepPerlmutter
158,Gary C. Peters,sen,MI,Democrat,SenGaryPeters
159,Chellie Pingree,rep,ME,Democrat,ChelliePingree
160,Rob Portman,sen,OH,Republican,SenRobPortman
161,Bill Posey,rep,FL,Republican,CongBillPosey
162,David E. Price,rep,NC,Democrat,RepDavidEPrice
163,Mike Quigley,rep,IL,Democrat,RepMikeQuigley
164,Tom Reed,rep,NY,Republican,RepTomReed
165,Harold Rogers,rep,KY,Republican,RepHalRogers
166,Mike Rogers,rep,AL,Republican,RepMikeRogersAL
167,Lucille Roybal-Allard,rep,CA,Democrat,RepRoybalAllard
168,Marco Rubio,sen,FL,Republican,SenRubioPress
169,C. A. Dutch Ruppersberger,rep,MD,Democrat,Call_Me_Dutch
170,Bobby L. Rush,rep,IL,Democrat,RepBobbyRush
171,Tim Ryan,rep,OH,Democrat,RepTimRyan
172,Gregorio Kilili Camacho Sablan,rep,MP,Democrat,Kilili_Sablan
173,John P. Sarbanes,rep,MD,Democrat,RepSarbanes
174,Steve Scalise,rep,LA,Republican,SteveScalise
175,Janice D. Schakowsky,rep,IL,Democrat,JanSchakowsky
176,Adam B. Schiff,rep,CA,Democrat,RepAdamSchiff
177,Kurt Schrader,rep,OR,Democrat,RepSchrader
178,Charles E. Schumer,sen,NY,Democrat,SenSchumer
179,David Schweikert,rep,AZ,Republican,RepDavid
180,Austin Scott,rep,GA,Republican,AustinScottGA08
181,David Scott,rep,GA,Democrat,RepDavidScott
182,Robert C. Bobby Scott,rep,VA,Democrat,BobbyScott
183,Tim Scott,sen,SC,Republican,SenatorTimScott
184,Terri Sewell,rep,AL,Democrat,RepTerriSewell
185,Richard C. Shelby,sen,AL,Republican,SenShelby
186,Brad Sherman,rep,CA,Democrat,BradSherman
187,Michael K. Simpson,rep,ID,Republican,CongMikeSimpson
188,Albio Sires,rep,NJ,Democrat,RepSires
189,Adam Smith,rep,WA,Democrat,RepAdamSmith
190,Adrian Smith,rep,NE,Republican,RepAdrianSmith
191,Christopher H. Smith,rep,NJ,Republican,RepChrisSmith
192,Jackie Speier,rep,CA,Democrat,RepSpeier
193,Steve Stivers,rep,OH,Republican,RepSteveStivers
194,Linda T. Sanchez,rep,CA,Democrat,RepLindaSanchez
195,Bennie G. Thompson,rep,MS,Democrat,BennieGThompson
196,Mike Thompson,rep,CA,Democrat,RepThompson
197,Glenn Thompson,rep,PA,Republican,CongressmanGT
198,John Thune,sen,SD,Republican,SenJohnThune
199,Paul Tonko,rep,NY,Democrat,RepPaulTonko
200,Patrick J. Toomey,sen,PA,Republican,SenToomey
201,Michael R. Turner,rep,OH,Republican,RepMikeTurner
202,Fred Upton,rep,MI,Republican,RepFredUpton
203,Chris Van Hollen,sen,MD,Democrat,ChrisVanHollen
204,Nydia M. Velazquez,rep,NY,Democrat,NydiaVelazquez
205,Tim Walberg,rep,MI,Republican,RepWalberg
206,Debbie Wasserman Schultz,rep,FL,Democrat,RepDWStweets
207,Maxine Waters,rep,CA,Democrat,RepMaxineWaters
208,Daniel Webster,rep,FL,Republican,RepWebster
209,Peter Welch,rep,VT,Democrat,PeterWelch
210,Joe Wilson,rep,SC,Republican,RepJoeWilson
211,Frederica S. Wilson,rep,FL,Democrat,RepWilson
212,Robert J. Wittman,rep,VA,Republican,RobWittman
213,Steve Womack,rep,AR,Republican,Rep_SteveWomack
214,Ron Wyden,sen,OR,Democrat,RonWyden
215,John A. Yarmuth,rep,KY,Democrat,RepJohnYarmuth
216,Don Young,rep,AK,Republican,RepDonYoung
217,Todd Young,sen,IN,Republican,SenToddYoung
218,Mark E. Amodei,rep,NV,Republican,MarkAmodeiNV2
219,Suzanne Bonamici,rep,OR,Democrat,RepBonamici
220,Suzan K. DelBene,rep,WA,Democrat,RepDelBene
221,Thomas Massie,rep,KY,Republican,RepThomasMassie
222,"Donald M. Payne, Jr.",rep,NJ,Democrat,RepDonaldPayne
223,Brian Schatz,sen,HI,Democrat,SenBrianSchatz
224,Bill Foster,rep,IL,Democrat,RepBillFoster
225,Dina Titus,rep,NV,Democrat,RepDinaTitus
226,Tom Cotton,sen,AR,Republican,SenTomCotton
227,Kyrsten Sinema,sen,AZ,Democrat,SenatorSinema
228,Doug LaMalfa,rep,CA,Republican,RepLaMalfa
229,Jared Huffman,rep,CA,Democrat,RepHuffman
230,Ami Bera,rep,CA,Democrat,RepBera
231,Eric Swalwell,rep,CA,Democrat,RepSwalwell
232,Julia Brownley,rep,CA,Democrat,RepBrownley
233,Tony Cardenas,rep,CA,Democrat,RepCardenas
234,Raul Ruiz,rep,CA,Democrat,RepRaulRuizMD
235,Mark Takano,rep,CA,Democrat,RepMarkTakano
236,Alan S. Lowenthal,rep,CA,Democrat,RepLowenthal
237,Juan Vargas,rep,CA,Democrat,RepJuanVargas
238,Scott H. Peters,rep,CA,Democrat,RepScottPeters
239,Lois Frankel,rep,FL,Democrat,RepLoisFrankel
240,Tammy Duckworth,sen,IL,Democrat,SenDuckworth
241,Rodney Davis,rep,IL,Republican,RodneyDavis
242,Cheri Bustos,rep,IL,Democrat,RepCheri
243,Jackie Walorski,rep,IN,Republican,RepWalorski
244,Andy Barr,rep,KY,Republican,RepAndyBarr
245,Elizabeth Warren,sen,MA,Democrat,SenWarren
246,"Angus S. King, Jr.",sen,ME,Independent,SenAngusKing
247,Daniel T. Kildee,rep,MI,Democrat,RepDanKildee
248,Ann Wagner,rep,MO,Republican,RepAnnWagner
249,Steve Daines,sen,MT,Republican,SteveDaines
250,Richard Hudson,rep,NC,Republican,RepRichHudson
251,Kevin Cramer,sen,ND,Republican,SenKevinCramer
252,Deb Fischer,sen,NE,Republican,SenatorFischer
253,Ann Kuster,rep,NH,Democrat,RepAnnieKuster
254,Grace Meng,rep,NY,Democrat,RepGraceMeng
255,Hakeem S. Jeffries,rep,NY,Democrat,RepJeffries
256,Sean Patrick Maloney,rep,NY,Democrat,RepSeanMaloney
257,Brad R. Wenstrup,rep,OH,Republican,RepBradWenstrup
258,Joyce Beatty,rep,OH,Democrat,RepBeatty
259,David P. Joyce,rep,OH,Republican,RepDaveJoyce
260,Markwayne Mullin,rep,OK,Republican,RepMullin
261,Scott Perry,rep,PA,Republican,RepScottPerry
262,Matt Cartwright,rep,PA,Democrat,RepCartwright
263,Tom Rice,rep,SC,Republican,RepTomRice
264,Ted Cruz,sen,TX,Republican,SenTedCruz
265,"Randy K. Weber, Sr.",rep,TX,Republican,TXRandy14
266,Joaquin Castro,rep,TX,Democrat,JoaquinCastrotx
267,Roger Williams,rep,TX,Republican,RepRWilliams
268,Marc A. Veasey,rep,TX,Democrat,RepVeasey
269,Filemon Vela,rep,TX,Democrat,RepFilemonVela
270,Chris Stewart,rep,UT,Republican,RepChrisStewart
271,Tim Kaine,sen,VA,Democrat,NA
272,Derek Kilmer,rep,WA,Democrat,RepDerekKilmer
273,Mark Pocan,rep,WI,Democrat,RepMarkPocan
274,Robin L. Kelly,rep,IL,Democrat,RepRobinKelly
275,Jason Smith,rep,MO,Republican,RepJasonSmith
276,Cory A. Booker,sen,NJ,Democrat,SenBooker
277,Katherine M. Clark,rep,MA,Democrat,RepKClark
278,Donald Norcross,rep,NJ,Democrat,DonaldNorcross
279,Alma S. Adams,rep,NC,Democrat,RepAdams
280,Gary J. Palmer,rep,AL,Republican,USRepGaryPalmer
281,J. Hill,rep,AR,Republican,RepFrenchHill
282,Bruce Westerman,rep,AR,Republican,RepWesterman
283,Ruben Gallego,rep,AZ,Democrat,RepRubenGallego
284,Mark DeSaulnier,rep,CA,Democrat,RepDeSaulnier
285,Pete Aguilar,rep,CA,Democrat,reppeteaguilar
286,Ted Lieu,rep,CA,Democrat,RepTedLieu
287,Norma J. Torres,rep,CA,Democrat,NormaJTorres
288,Ken Buck,rep,CO,Republican,RepKenBuck
289,Earl L. Buddy Carter,rep,GA,Republican,RepBuddyCarter
290,Jody B. Hice,rep,GA,Republican,congressmanhice
291,Barry Loudermilk,rep,GA,Republican,RepLoudermilk
292,Rick W. Allen,rep,GA,Republican,reprickallen
293,Mike Bost,rep,IL,Republican,RepBost
294,Garret Graves,rep,LA,Republican,RepGarretGraves
295,Seth Moulton,rep,MA,Democrat,teammoulton
296,John R. Moolenaar,rep,MI,Republican,RepMoolenaar
297,Debbie Dingell,rep,MI,Democrat,RepDebDingell
298,Brenda L. Lawrence,rep,MI,Democrat,RepLawrence
